CustomerID,AvgPricePerInvoice_Cluster,TotalPrice_Cluster,Generic_Cluster
17733,8,8,8
17419,7,8,5
13461,8,8,8
13697,8,8,8
14911,6,7,4
17389,6,7,4
17166,2,3,0
14345,3,2,1
13758,7,6,3
17139,7,8,5
12552,2,3,0
13292,7,6,3
15214,7,8,5
17377,6,7,5
13327,7,6,8
16029,6,7,5
13881,6,7,6
13468,5,4,2
13726,8,8,8
18092,8,8,7
17503,7,6,3
14419,6,5,3
13268,8,8,8
15527,8,8,8
16830,7,8,5
16960,4,3,1
14866,8,7,6
14995,4,3,1
16825,7,6,3
15311,6,7,6
17495,8,8,8
12674,7,8,5
12491,7,8,5
14485,4,5,2
14426,8,8,6
17243,8,8,6
17346,6,7,5
13868,8,8,8
15018,5,5,2
16360,6,7,5
14432,8,7,6
14243,5,7,5
15039,6,7,5
14401,8,8,8
16173,5,5,2
17696,8,8,8
13571,8,7,6
12748,6,7,6
12682,8,8,6
18270,3,4,1
17812,6,5,3
15423,6,5,3
13755,6,7,5
16729,8,7,6
14562,6,7,5
15847,5,5,2
17668,4,5,2
14191,8,8,8
17428,6,7,5
14667,8,8,6
14505,6,7,6
16971,6,5,3
16458,7,8,5
13021,7,8,5
17739,8,6,8
17813,6,5,3
13969,8,8,6
17315,7,6,3
17888,4,3,1
17653,8,8,8
14383,7,6,3
15511,6,5,3
18135,4,5,2
17576,4,5,2
16352,7,6,3
14032,7,6,3
17965,6,5,3
15065,7,6,3
13890,6,7,5
16839,8,7,6
17811,8,7,6
16884,7,6,3
17966,6,7,5
17135,6,7,5
17719,6,5,3
15830,8,8,8
17663,8,8,8
14216,7,6,8
12901,6,7,5
15275,8,8,8
16790,8,8,8
16308,6,7,6
16747,7,6,3
12779,8,8,8
15750,8,7,6
12830,6,7,5
14285,6,8,5
12415,6,7,6
15576,8,8,8
18105,4,3,1
16014,4,5,2
13477,2,2,0
14673,7,6,3
14434,6,5,3
12594,2,3,0
14390,8,8,6
17410,7,6,3
12955,8,7,7
17754,8,8,8
16558,8,8,8
17841,6,7,6
14606,6,7,5
16607,7,6,3
16043,4,3,1
18164,8,8,8
17800,3,2,1
14974,4,3,1
15805,5,5,2
17947,4,3,1
16367,8,7,6
16210,8,7,7
13854,5,5,3
15743,5,5,2
13318,7,6,3
13769,7,8,5
13316,8,8,7
13904,3,4,1
14102,8,8,8
16706,2,3,0
16379,8,8,8
18104,8,8,8
16525,8,8,8
14646,6,7,4
16531,5,4,2
17675,8,8,7
13271,6,7,5
17434,8,8,8
13183,8,6,8
14088,8,7,4
12490,8,8,8
17735,8,8,8
16748,7,8,5
12654,5,4,2
15414,7,6,3
16365,5,5,2
17999,6,5,3
17595,6,7,5
16348,8,8,8
15804,7,8,5
16205,4,5,2
14528,7,6,3
17432,6,7,5
15651,7,6,3
18044,6,7,5
17611,7,6,3
17442,7,6,3
17086,8,8,8
16684,6,7,7
12437,8,8,8
13599,8,8,6
12471,8,8,6
16337,5,4,2
12808,5,4,2
14098,4,3,1
16128,5,7,5
13636,7,6,3
12615,8,8,8
13728,5,5,2
18041,8,8,8
13709,8,8,8
17816,1,0,0
14815,8,8,8
17491,8,8,8
16221,8,7,6
14110,4,5,2
16841,8,8,8
15227,5,5,2
17306,6,7,5
16992,8,8,8
16678,8,8,8
16929,7,6,3
15271,5,4,2
15551,8,8,8
14849,8,8,8
15998,8,7,6
13168,6,7,5
16347,8,7,6
17634,4,5,2
18205,6,5,3
15252,8,8,8
12569,6,5,3
16891,4,3,1
13014,5,5,2
13721,7,8,5
15605,6,7,5
15570,8,8,8
14607,6,7,6
16500,2,3,0
16322,6,5,3
12352,6,7,5
17857,6,7,6
15814,7,6,3
14878,3,4,1
13408,8,7,6
14856,7,6,3
15612,4,3,1
17644,5,7,5
17450,6,7,4
14723,6,7,5
17750,6,7,5
17403,6,5,3
16914,6,5,3
16333,6,7,4
16602,8,8,8
16746,7,6,3
14636,5,5,2
12544,6,7,5
13914,7,6,3
13324,8,8,8
14428,6,7,5
18081,6,8,5
17481,8,8,8
15809,3,4,1
16409,8,8,8
13467,8,8,8
15640,8,8,7
17221,6,5,3
13267,7,6,3
13500,7,8,5
17076,8,8,8
17351,4,3,1
17078,8,7,6
15482,6,7,6
16016,6,5,3
16438,6,5,3
14913,8,8,8
13013,7,6,3
13081,6,7,4
12362,7,6,3
12971,6,7,5
13178,8,8,8
12664,6,7,5
16671,6,7,5
16672,8,8,8
13592,2,3,0
12397,8,8,7
14150,7,6,3
18102,6,7,4
13447,7,8,5
12576,8,8,8
15845,7,6,3
17930,8,8,8
13756,8,8,8
13495,7,6,3
17348,8,7,6
14659,6,7,5
17203,8,8,8
13004,8,8,8
12944,8,8,8
13313,7,6,3
12704,6,8,5
18122,6,7,5
15722,7,6,3
18172,8,8,8
12431,6,7,5
17677,8,8,8
17979,6,5,3
14132,8,8,8
15453,6,7,5
18035,8,8,8
15010,7,6,3
18022,6,7,5
17193,0,0,0
14388,8,8,8
13798,8,8,6
17690,7,6,3
16318,7,6,3
12577,8,7,6
17274,4,3,1
16012,8,7,6
15597,8,8,8
15291,8,8,8
15358,8,8,8
18167,7,6,3
16782,5,4,2
17233,6,5,3
16887,6,7,5
15676,8,7,7
12928,8,8,8
15061,6,7,6
16555,5,4,2
15707,6,7,5
13938,2,1,0
17084,8,7,7
13651,2,3,0
12484,8,8,8
16426,6,7,5
17652,7,6,3
14056,8,7,6
17703,7,6,3
14592,4,3,1
14971,8,8,8
17133,6,7,5
14882,5,5,2
14936,8,8,8
15017,4,5,2
18077,8,8,8
15745,6,5,3
14820,3,4,1
15952,6,7,5
17769,8,8,8
16326,5,5,2
12882,8,8,8
17387,8,8,8
12619,8,8,8
15571,5,5,2
16466,6,5,3
16434,6,5,3
13772,6,7,5
16942,6,7,5
15407,6,7,5
16676,7,8,5
13527,6,7,5
14482,8,8,8
16168,6,5,3
15514,8,8,6
13727,5,4,2
12838,6,5,3
16744,6,7,5
13532,6,5,3
15555,8,7,6
14404,4,4,1
17289,8,7,6
16243,6,5,3
16445,6,5,3
13365,8,7,7
12645,7,6,3
15078,7,6,3
15156,7,6,3
14963,8,7,6
16372,6,5,3
17581,8,8,6
17608,4,3,1
12638,8,8,8
14174,4,3,1
16771,3,2,1
