CustomerID,AvgPricePerInvoice_Cluster,TotalPrice_Cluster,Generic_Cluster
17733,7,7,4
17419,7,7,4
13461,7,7,4
13697,7,7,6
14911,5,8,5
17389,8,8,5
17166,1,1,0
14345,2,3,1
13758,6,6,6
17139,7,7,4
12552,1,1,0
13292,6,6,6
15214,8,7,4
17377,5,5,4
13327,7,7,4
16029,8,8,8
13881,5,8,8
13468,3,3,1
13726,8,8,8
18092,8,7,8
17503,7,7,6
14419,4,4,2
13268,8,8,8
15527,8,8,8
16830,7,7,6
16960,4,4,2
14866,8,8,8
14995,2,2,0
16825,6,6,6
15311,8,8,7
17495,8,8,8
12674,7,7,4
12491,7,7,6
14485,4,4,2
14426,8,8,8
17243,8,8,8
17346,5,5,4
13868,8,8,8
15018,4,4,2
16360,5,5,4
14432,8,8,8
14243,4,5,3
15039,5,5,4
14401,8,8,8
16173,4,4,2
17696,7,7,6
13571,8,8,8
12748,5,5,8
12682,8,8,8
18270,3,3,1
17812,4,4,2
15423,4,4,2
13755,5,5,4
16729,8,8,8
14562,5,5,4
15847,4,4,2
17668,2,2,0
14191,8,8,8
17428,5,5,4
14667,8,8,8
14505,5,5,4
16971,4,4,2
16458,7,7,6
13021,7,7,6
17739,8,8,8
17813,4,4,2
13969,8,7,8
17315,7,7,6
17888,4,4,2
17653,7,7,4
14383,6,6,6
15511,4,4,2
18135,4,4,2
17576,2,4,1
16352,6,6,6
14032,7,7,6
17965,5,5,4
15065,6,6,6
13890,5,5,4
16839,8,8,8
17811,8,8,8
16884,6,6,6
17966,5,5,4
17135,5,5,4
17719,4,4,2
15830,8,8,8
17663,5,5,4
14216,7,7,4
12901,5,5,4
15275,8,8,8
16790,8,7,4
16308,5,5,4
16747,7,6,6
12779,8,8,8
15750,8,8,8
12830,5,5,4
14285,5,5,4
12415,5,8,7
15576,8,8,8
18105,2,2,0
16014,2,2,0
13477,2,2,0
14673,7,7,6
14434,4,4,2
12594,2,2,0
14390,8,8,8
17410,6,6,6
12955,8,8,8
17754,7,7,4
16558,7,7,4
17841,5,5,8
14606,5,5,4
16607,6,6,6
16043,4,4,2
18164,8,8,8
17800,2,3,1
14974,2,2,0
15805,4,4,2
17947,4,4,2
16367,8,8,8
