CustomerID,AvgPricePerInvoice_Cluster,TotalPrice_Cluster,Generic_Cluster
17733,5,6,6
17419,5,5,6
13461,4,6,5
13697,2,5,5
14911,7,7,8
17389,7,7,8
17166,0,0,0
14345,1,1,0
13758,4,4,6
17139,5,5,6
12552,2,0,0
13292,6,5,6
15214,2,5,5
17377,4,3,3
13327,5,5,6
16029,2,7,5
13881,3,8,7
13468,1,1,0
13726,4,7,5
18092,4,6,6
17503,6,5,6
14419,4,2,3
13268,4,7,5
15527,5,3,3
16830,5,5,6
16960,2,2,1
14866,3,7,7
14995,2,0,0
16825,6,5,6
15311,7,7,7
17495,6,2,2
12674,7,5,7
12491,7,5,7
14485,3,2,2
14426,4,6,5
17243,4,6,5
17346,4,3,3
13868,7,7,7
15018,3,1,2
16360,7,7,7
14432,4,7,5
14243,1,1,0
15039,4,2,3
14401,4,6,5
16173,3,1,2
17696,4,6,5
13571,4,5,5
12748,7,7,8
12682,4,6,5
18270,1,1,0
17812,4,2,3
15423,2,2,1
13755,4,2,3
16729,7,7,7
14562,4,2,3
15847,3,1,2
17668,2,0,0
14191,4,7,5
17428,2,5,5
14667,4,7,5
14505,7,7,7
16971,7,0,2
16458,2,4,1
13021,5,5,6
17739,3,2,2
17813,4,2,3
13969,7,7,7
17315,4,4,6
17888,0,7,5
17653,7,6,7
14383,6,5,6
15511,4,2,3
18135,2,3,1
17576,2,0,0
16352,5,4,6
14032,3,4,6
17965,4,2,3
15065,5,5,6
13890,3,2,2
16839,3,7,7
17811,4,3,3
16884,5,4,6
17966,3,8,7
17135,3,3,4
17719,4,1,3
15830,7,7,7
17663,4,1,3
14216,5,5,6
12901,2,8,5
15275,7,7,7
16790,4,5,5
16308,2,8,5
16747,5,4,6
12779,7,7,7
15750,5,3,3
12830,2,8,5
14285,2,5,5
12415,3,8,7
15576,7,5,7
18105,2,0,0
16014,2,0,0
13477,1,1,0
14673,4,4,6
14434,2,2,1
12594,0,2,1
14390,4,7,5
17410,4,4,3
12955,7,7,7
17754,4,6,5
16558,7,5,7
17841,7,7,7
14606,4,2,3
16607,5,4,6
16043,2,3,1
18164,6,2,2
17800,1,1,0
14974,2,0,0
15805,1,2,1
17947,2,5,5
16367,7,7,7
16210,7,7,7
13854,1,2,1
15743,3,0,2
13318,6,5,6
13769,6,2,2
13316,7,7,7
13904,1,1,0
14102,4,6,5
16706,2,0,0
16379,7,7,7
18104,7,5,7
16525,4,6,5
14646,7,8,8
16531,3,1,2
17675,7,7,7
13271,4,3,3
17434,4,6,5
13183,3,5,6
14088,7,7,8
12490,4,6,5
17735,5,7,6
16748,5,5,6
12654,1,1,0
15414,5,5,6
16365,1,1,0
17999,4,2,3
17595,4,2,3
16348,5,2,3
15804,5,5,6
16205,1,3,1
14528,5,4,6
17432,4,2,3
15651,2,4,1
18044,5,2,3
17611,5,5,6
17442,6,5,6
17086,4,6,5
16684,3,8,8
12437,4,6,5
13599,4,5,5
12471,4,7,5
16337,1,1,0
12808,3,1,2
14098,2,2,1
16128,1,3,1
13636,7,5,7
12615,7,6,7
13728,3,1,2
18041,4,7,5
13709,7,3,4
17816,0,0,0
14815,4,6,5
17491,3,4,6
16221,7,7,7
14110,2,2,1
16841,4,6,5
15227,3,1,2
17306,3,7,7
16992,5,2,3
16678,4,6,5
16929,4,5,5
15271,1,1,0
15551,7,3,4
14849,4,6,5
15998,7,3,4
